satellite_a,satellite_b,norad_a,norad_b,distance_km,relative_speed_km_s,time_to_cpa_seconds,minimum_distance_km,risk,risk_score
STARLINK-38148,STARLINK-37832,100199,100231,12934.806271968011,1.0618853865979412,835.1580251916438,12904.368422308135,LOW,10
STARLINK-38219,GLOBALSTAR 2-R OBJECT G,100215,100331,13018.827415450627,12.043888128536496,142.73349459061868,12904.831596428914,LOW,10
STARLINK-38150,STARLINK-38251,100167,100229,12905.705447928594,14.653256304290863,7.859063384426706,12905.191632931894,LOW,10
STARLINK-38072,CZ-8A R/B,100113,100212,12905.790193574787,9.076869791872669,0.0,12905.790193574787,LOW,10
STARLINK-37712,ELECTRON R/B,100109,100245,12905.893247496002,12.25652760484468,0.0,12905.893247496002,LOW,10
STARLINK-38178,STARLINK-38188,100201,100233,12906.037682711103,0.3661543047816062,0.0,12906.037682711103,LOW,10
STARLINK-38223,GLOBALSTAR 2-R OBJECT E,100190,100329,12906.067037108609,6.3579872019504675,0.0,12906.067037108609,LOW,10
STARLINK-38081,STARLINK-38079,100153,100165,12906.335115422267,14.80249114326573,0.9286680288998069,12906.327794634803,LOW,10
STARLINK-38196,STARLINK-38226,100200,100217,12906.482045453273,6.0012913672442165,0.0,12906.482045453273,LOW,10
STARLINK-38088,STARLINK-38182,100114,100148,12906.881122604591,14.917571534949527,0.0,12906.881122604591,LOW,10
STARLINK-38112,STARLINK-37375,100181,100228,12907.229978026042,2.051387503359021,0.0,12907.229978026042,LOW,10
STARLINK-38222,STARLINK-38139,100101,100236,12917.260814146237,15.018058594549485,33.628420682536664,12907.384243578343,LOW,10
STARLINK-38140,STARLINK-38165,100182,100191,12907.565360198669,14.801831896491352,0.21583334340446722,12907.564964837793,LOW,10
STARLINK-38222,STARLINK-38163,100101,100250,12910.833533434754,14.605125309133882,18.80169858521142,12907.912950158488,LOW,10
STARLINK-38038,STARLINK-37717,100116,100226,12907.918174533637,15.363342528679562,0.0,12907.918174533637,LOW,10
STARLINK-38140,STARLINK-38157,100182,100263,12908.052231447133,4.410909884467571,0.0,12908.052231447133,LOW,10
2026-168E,STARLINK-38168,100133,100251,12936.311563975401,14.438697314427374,58.96493892687774,12908.265346099619,LOW,10
PESSOA,STARLINK-38152,100139,100157,12910.055615172027,11.42515447990085,0.0,12910.055615172027,LOW,10
STARLINK-38219,GLOBALSTAR 2-R OBJECT H,100215,100332,13025.767790610254,12.067088800150346,143.54029289645763,12910.089445618893,LOW,10
STARLINK-38178,STARLINK-38221,100201,100248,12911.3705789689,2.58821999653028,0.0,12911.3705789689,LOW,10
